DATE,OPEN,HIGH,LOW,CLOSE,VOL,P,R,RINFO
20170804,1.80,1.85,1.80,1.81,34183300,0,0,0
20170805,1.80,1.98,1.76,1.91,52324800,0,0,0
20170806,1.90,1.90,1.72,1.74,38436700,0,0,0
20170807,1.73,1.83,1.71,1.81,46022400,0,0,0
20170808,1.81,2.04,1.79,1.88,76270800,0,0,0
20170809,1.88,1.95,1.81,1.83,36813700,0,0,0
20170810,1.83,1.89,1.83,1.83,43519300,0,0,0
20170811,1.83,1.87,1.77,1.79,49178400,0,0,0
20170812,1.79,1.82,1.66,1.67,38131800,0,0,0
20170813,1.67,1.68,1.58,1.62,40514200,0,0,0
20170814,1.61,1.67,1.54,1.66,39205300,0,0,0
20170815,1.66,1.81,1.59,1.65,58304700,0,0,0
20170816,1.64,1.64,1.59,1.60,24022000,0,0,0
20170817,1.60,1.61,1.52,1.55,25713300,0,0,0
20170818,1.54,1.54,1.40,1.42,26841700,0,0,0
20170819,1.42,1.44,1.32,1.40,24769900,0,0,0
20170820,1.40,1.42,1.36,1.37,15673200,0,0,0
20170821,1.37,1.38,1.33,1.34,20152300,0,0,0
20170822,1.34,1.34,1.26,1.28,23774300,0,0,0
20170823,1.29,1.53,1.28,1.41,36567800,0,0,0
20170824,1.41,1.42,1.35,1.38,18034600,0,0,0
20170825,1.38,1.43,1.35,1.38,20444500,0,0,0
20170826,1.38,1.39,1.35,1.36,16466000,0,0,0
20170827,1.36,1.37,1.34,1.35,18124100,0,0,0
20170828,1.35,1.36,1.32,1.34,18414400,0,0,0
20170829,1.34,1.35,1.31,1.31,18993200,0,0,0
20170830,1.31,1.33,1.19,1.23,24068700,0,0,0
20170831,1.23,1.33,1.22,1.30,22926100,0,0,0
20170901,1.30,1.33,1.26,1.30,25853000,0,0,0
20170902,1.30,1.43,1.19,1.23,38741300,0,0,0
20170903,1.24,1.29,1.18,1.25,22618600,0,0,0
20170904,1.25,1.25,0.792624,0.850526,43045400,0,0,0
20170905,0.848252,0.918675,0.712454,0.883708,30273900,0,0,0
20170906,0.891735,1.07,0.853005,0.914359,26208300,0,0,0
20170907,0.921946,1.00,0.853389,0.977272,22912100,0,0,0
20170908,0.977746,0.977746,0.771229,0.832764,18650200,0,0,0
20170909,0.833780,0.834185,0.752267,0.791608,10281100,0,0,0
20170910,0.793394,0.811077,0.707969,0.739763,9494440,0,0,0
20170911,0.739553,0.752968,0.715178,0.730869,7763470,0,0,0
20170912,0.730094,0.853169,0.728287,0.836077,15475800,0,0,0
20170913,0.841224,0.841224,0.671642,0.728994,12370500,0,0,0
20170914,0.727394,0.754454,0.573316,0.603217,13131300,0,0,0
20170915,0.603370,0.683713,0.524670,0.664289,13121900,0,0,0
20170916,0.666501,0.685285,0.606857,0.627565,5602950,0,0,0
20170917,0.624291,0.667683,0.577502,0.648592,8685770,0,0,0
20170918,0.650438,0.706701,0.650438,0.704878,9065170,0,0,0
20170919,0.708194,0.708576,0.647600,0.653363,5520750,0,0,0
20170920,0.651858,0.654721,0.612827,0.612827,6087520,0,0,0
20170921,0.615818,0.615818,0.544907,0.546153,6972060,0,0,0
20170922,0.547718,0.579056,0.534403,0.569846,4556540,0,0,0
20170923,0.570790,0.594251,0.560010,0.576697,4809880,0,0,0
20170924,0.580243,0.582995,0.546018,0.546274,7534280,0,0,0
20170925,0.546514,0.574288,0.543055,0.570774,5592430,0,0,0
20170926,0.570981,0.584476,0.552298,0.561128,5789570,0,0,0
20170927,0.560208,0.636917,0.557500,0.633043,11395600,0,0,0
20170928,0.632940,0.816737,0.630716,0.815693,22672400,0,0,0
20170929,0.816964,0.835309,0.704876,0.717272,15499400,0,0,0
20170930,0.718682,0.752134,0.714021,0.721609,10179600,0,0,0
20171001,0.721765,0.725224,0.674128,0.707760,8938190,0,0,0
20171002,0.707986,0.714239,0.636093,0.654973,8299880,0,0,0
20171003,0.652812,0.668738,0.616319,0.631230,7114830,0,0,0
20171004,0.631988,0.634008,0.585308,0.601539,5449300,0,0,0
20171005,0.599336,0.620752,0.575530,0.606157,8038660,0,0,0
20171006,0.606706,0.608968,0.591342,0.599844,6785670,0,0,0
20171007,0.599816,0.604416,0.572312,0.588553,6250760,0,0,0
20171008,0.587396,0.605634,0.577351,0.604501,5854700,0,0,0
20171009,0.603543,0.603980,0.547139,0.557142,6657950,0,0,0
20171010,0.557554,0.575712,0.548996,0.555214,7701180,0,0,0
20171011,0.556461,0.626727,0.552679,0.610223,8705650,0,0,0
20171012,0.610294,0.632223,0.584208,0.591723,8681880,0,0,0
20171013,0.591619,0.614803,0.567720,0.583970,8587370,0,0,0
20171014,0.584829,0.618572,0.578119,0.582836,6436220,0,0,0
20171015,0.583440,0.586516,0.563429,0.571914,6573060,0,0,0
20171016,0.571853,0.581349,0.561856,0.561856,6005900,0,0,0
20171017,0.562389,0.564163,0.544123,0.552144,6374050,0,0,0
20171018,0.554269,0.560554,0.514188,0.546006,7320330,0,0,0
20171019,0.545624,0.590050,0.544242,0.566708,8084770,0,0,0
20171020,0.566626,0.579606,0.540684,0.540684,6150650,0,0,0
20171021,0.540259,0.541115,0.512558,0.526792,7066060,0,0,0
20171022,0.526479,0.538859,0.504792,0.517970,5538990,0,0,0
20171023,0.517658,0.518657,0.480196,0.493225,6162350,0,0,0
20171024,0.492790,0.531023,0.482726,0.514935,7089410,0,0,0
20171025,0.514902,0.520106,0.497452,0.504073,5046620,0,0,0
20171026,0.504340,0.529740,0.502833,0.518944,5314240,0,0,0
20171027,0.518989,0.523540,0.502715,0.522118,4730120,0,0,0
20171028,0.522242,0.539194,0.521951,0.536368,5960600,0,0,0
20171029,0.536399,0.680899,0.536399,0.665881,19902600,0,0,0
20171030,0.667644,0.742194,0.646114,0.711433,20481800,0,0,0
20171031,0.712702,0.781782,0.672324,0.781782,16200000,0,0,0
20171101,0.785862,1.27,0.758617,1.05,74917400,0,0,0
20171102,1.05,1.27,0.924324,1.12,68358600,0,0,0
20171103,1.12,1.39,1.06,1.21,59247900,0,0,0
20171104,1.20,1.29,1.06,1.12,37546000,0,0,0
20171105,1.11,1.16,0.985319,1.09,32996400,0,0,0
20171106,1.07,1.07,0.914666,0.916950,26059800,0,0,0
20171107,0.921145,0.987035,0.921145,0.951407,16941200,0,0,0
20171108,0.951020,1.18,0.947023,1.13,37971000,0,0,0
20171109,1.13,1.21,1.13,1.18,24725800,0,0,0
20171110,1.18,1.18,0.994880,1.03,23024200,0,0,0
20171111,1.03,1.18,1.01,1.16,27539300,0,0,0
20171112,1.16,1.18,1.04,1.09,29229800,0,0,0
20171113,1.09,1.19,1.08,1.18,20848600,0,0,0
20171114,1.18,1.67,1.18,1.67,107326000,0,0,0
20171115,1.68,1.74,1.54,1.67,64150700,0,0,0
20171116,1.67,1.84,1.57,1.65,64675200,0,0,0
20171117,1.66,1.82,1.60,1.75,50782500,0,0,0
20171118,1.74,1.98,1.66,1.93,52951400,0,0,0
20171119,1.92,2.03,1.77,1.88,55081600,0,0,0
20171120,1.89,2.04,1.83,1.99,55477200,0,0,0
20171121,2.00,2.11,1.85,1.90,56022900,0,0,0
20171122,1.91,1.98,1.79,1.89,44297600,0,0,0
20171123,1.89,1.98,1.85,1.89,42235000,0,0,0
20171124,1.89,1.91,1.73,1.88,44111800,0,0,0
20171125,1.88,2.06,1.79,2.05,48591800,0,0,0
20171126,2.05,2.66,1.94,2.46,116846000,0,0,0
20171127,2.46,2.94,2.38,2.86,126962000,0,0,0
20171128,2.86,3.07,2.75,2.75,98904100,0,0,0
20171129,2.79,3.33,2.54,2.71,133125000,0,0,0
20171130,2.76,2.99,2.54,2.85,92059600,0,0,0
20171201,2.83,3.24,2.73,3.24,74402000,0,0,0
20171202,3.24,3.99,3.21,3.92,163479000,0,0,0
20171203,3.94,4.12,3.44,3.61,132280000,0,0,0
