DATE,OPEN,HIGH,LOW,CLOSE,VOL,P,R,RINFO
20171111,0.501986,0.621817,0.497991,0.621817,42375200,0,0,0
20171112,0.626080,0.636028,0.508265,0.593716,44517800,0,0,0
20171113,0.594010,0.652501,0.573934,0.591634,37718000,0,0,0
20171114,0.586061,0.618325,0.538290,0.610332,33932000,0,0,0
20171115,0.610165,0.785823,0.610165,0.785823,87041500,0,0,0
20171116,0.792688,0.893702,0.713337,0.823941,132320000,0,0,0
20171117,0.830897,0.875845,0.731393,0.792462,102001000,0,0,0
20171118,0.791203,0.848357,0.752962,0.823032,57802400,0,0,0
20171119,0.816643,0.878973,0.808990,0.864638,61681300,0,0,0
20171120,0.862672,0.992344,0.858567,0.966548,92042900,0,0,0
20171121,0.965610,0.985799,0.776513,0.888499,123514000,0,0,0
20171122,0.889204,0.957121,0.854097,0.899570,69568700,0,0,0
20171123,0.897425,0.915350,0.789444,0.793487,64619700,0,0,0
20171124,0.793492,0.796914,0.687301,0.786914,113159000,0,0,0
20171125,0.787730,0.853820,0.718574,0.806117,64910500,0,0,0
20171126,0.804621,0.841932,0.763788,0.841932,47779300,0,0,0
20171127,0.844828,1.10,0.799566,1.04,174455000,0,0,0
20171128,1.04,1.50,1.03,1.50,465727000,0,0,0
20171129,1.48,1.56,1.13,1.25,294702000,0,0,0
20171130,1.27,1.39,1.13,1.33,179224000,0,0,0
20171201,1.31,1.49,1.23,1.45,141192000,0,0,0
20171202,1.42,1.45,1.35,1.44,115656000,0,0,0
20171203,1.44,2.02,1.43,1.88,401418000,0,0,0
